sample,subgroup,n_readings,reading_numbers,element,n_detected,n_below_detection,n_missing,mean_basis,mean_ppm,sample_sd_ppm,sem_ppm,min_ppm,max_ppm,mean_reported_2sigma_ppm,nominal_instrument_1sigma_mean_ppm
sample4,small grains,5,4479 4480 4481 4482 4483,Zr,0,5,0,detected readings only; no imputation,,,,,,,
sample4,mixed grains,5,4484 4485 4486 4487 4488,Ag,0,5,0,detected readings only; no imputation,,,,,,,
sample4,mixed grains,5,4484 4485 4486 4487 4488,As,5,0,0,detected readings only; no imputation,2.7970400000000004,0.3930171281254801,0.1757626029620636,2.1864,3.1674,1.5848400000000002,0.35643456678610735
sample4,mixed grains,5,4484 4485 4486 4487 4488,Au,0,5,0,detected readings only; no imputation,,,,,,,
sample4,mixed grains,5,4484 4485 4486 4487 4488,Bal,5,0,0,detected readings only; no imputation,942264.475,6078.617624734621,2718.440443626984,935605.9375,951255.25,415.99588000000006,93.20817181790338
sample4,mixed grains,5,4484 4485 4486 4487 4488,Bi,0,5,0,detected readings only; no imputation,,,,,,,
sample4,mixed grains,5,4484 4485 4486 4487 4488,Cd,0,5,0,detected readings only; no imputation,,,,,,,
sample4,mixed grains,5,4484 4485 4486 4487 4488,Co,0,5,0,detected readings only; no imputation,,,,,,,
sample4,mixed grains,5,4484 4485 4486 4487 4488,Cr,5,0,0,detected readings only; no imputation,632.77742,686.7564669914852,307.1268288361103,243.0274,1852.3877,45.49946,10.46191134217357
sample4,mixed grains,5,4484 4485 4486 4487 4488,Cu,0,5,0,detected readings only; no imputation,,,,,,,
sample4,mixed grains,5,4484 4485 4486 4487 4488,Fe,5,0,0,detected readings only; no imputation,53540.45704000001,5588.153446139368,2499.098194853467,45523.0625,59878.4922,162.80509999999998,36.434548293323196
sample4,mixed grains,5,4484 4485 4486 4487 4488,Hf,0,5,0,detected readings only; no imputation,,,,,,,
sample4,mixed grains,5,4484 4485 4486 4487 4488,Hg,0,5,0,detected readings only; no imputation,,,,,,,
sample4,mixed grains,5,4484 4485 4486 4487 4488,Mn,5,0,0,detected readings only; no imputation,714.52262,85.00897872705568,38.017171026306,612.5858,805.9379,38.68832,8.660665103593372
sample4,mixed grains,5,4484 4485 4486 4487 4488,Mo,0,5,0,detected readings only; no imputation,,,,,,,
sample4,mixed grains,5,4484 4485 4486 4487 4488,Nb,0,5,0,detected readings only; no imputation,,,,,,,
sample4,mixed grains,5,4484 4485 4486 4487 4488,Ni,5,0,0,detected readings only; no imputation,2785.93162,356.3137052720425,159.34833326062244,2281.0615,3198.707,31.8456,7.133249527347267
sample4,mixed grains,5,4484 4485 4486 4487 4488,Pb,5,0,0,detected readings only; no imputation,24.23538,11.704352490718998,5.234345560373331,13.4134,43.5111,1.5695199999999998,0.35364562290519025
sample4,mixed grains,5,4484 4485 4486 4487 4488,Pd,0,5,0,detected readings only; no imputation,,,,,,,
sample4,mixed grains,5,4484 4485 4486 4487 4488,Rb,0,5,0,detected readings only; no imputation,,,,,,,
sample4,mixed grains,5,4484 4485 4486 4487 4488,Re,0,5,0,detected readings only; no imputation,,,,,,,
sample4,mixed grains,5,4484 4485 4486 4487 4488,Sb,0,5,0,detected readings only; no imputation,,,,,,,
sample4,mixed grains,5,4484 4485 4486 4487 4488,Se,0,5,0,detected readings only; no imputation,,,,,,,
sample4,mixed grains,5,4484 4485 4486 4487 4488,Sn,0,5,0,detected readings only; no imputation,,,,,,,
sample4,mixed grains,5,4484 4485 4486 4487 4488,Sr,0,5,0,detected readings only; no imputation,,,,,,,
sample4,mixed grains,5,4484 4485 4486 4487 4488,Ta,0,5,0,detected readings only; no imputation,,,,,,,
sample4,mixed grains,5,4484 4485 4486 4487 4488,Th,0,5,0,detected readings only; no imputation,,,,,,,
sample4,mixed grains,5,4484 4485 4486 4487 4488,Ti,0,5,0,detected readings only; no imputation,,,,,,,
sample4,mixed grains,5,4484 4485 4486 4487 4488,U,0,5,0,detected readings only; no imputation,,,,,,,
sample4,mixed grains,5,4484 4485 4486 4487 4488,V,0,5,0,detected readings only; no imputation,,,,,,,
sample4,mixed grains,5,4484 4485 4486 4487 4488,W,0,5,0,detected readings only; no imputation,,,,,,,
sample4,mixed grains,5,4484 4485 4486 4487 4488,Y,0,5,0,detected readings only; no imputation,,,,,,,
sample4,mixed grains,5,4484 4485 4486 4487 4488,Zn,5,0,0,detected readings only; no imputation,34.8021,3.4204144295684396,1.5296558351472394,29.2486,37.7316,2.97276,0.6648486522510216
sample4,mixed grains,5,4484 4485 4486 4487 4488,Zr,0,5,0,detected readings only; no imputation,,,,,,,
sample5,weathered surface,5,4489 4490 4491 4492 4493,Ag,5,0,0,detected readings only; no imputation,23.818219999999997,9.491118061482537,4.244557033590196,14.2647,37.6291,20.95026,4.9731662505188785
sample5,weathered surface,5,4489 4490 4491 4492 4493,As,5,0,0,detected readings only; no imputation,5.643880000000001,1.4761917158689113,0.6601730049009881,4.1315,8.0525,1.74726,0.39086575892497927
sample5,weathered surface,5,4489 4490 4491 4492 4493,Au,0,5,0,detected readings only; no imputation,,,,,,,
sample5,weathered surface,5,4489 4490 4491 4492 4493,Bal,5,0,0,detected readings only; no imputation,932117.2125,8157.706220170556,3648.2371297548457,919637.3125,938009.75,563.7823000000001,126.3964006254652
sample5,weathered surface,5,4489 4490 4491 4492 4493,Bi,0,5,0,detected readings only; no imputation,,,,,,,
