scenario,time_days,generated_h2_kg,dissolved_reactor_h2_kg,free_reactor_h2_kg,retained_separator_h2_kg,uncollected_separator_h2_kg,collected_h2_kg,remaining_reactive_fe_kg,water_remaining_kg,salt_kg,salt_molality,free_h2_volume_m3_ideal,gross_electricity_kwh,average_gross_power_kw,initial_pump_electricity_kwh,sensible_heat_kwh_thermal,heater_electricity_kwh,standalone_balance_kwh,warm_pressurized_balance_kwh,h2_ledger_error_kg
ten_year_assumption,13.938503071650985,0.018826076895148022,0.018826076895148022,0.0,0.018826076895148022,0.0,0.0,590.3058154526317,19999.831757323565,5259.852,4.500037854920638,0.0,0.0,0.0,101.95096961063628,765.4792633333333,805.767645614035,-907.7186152246713,-4.283654185320851,0.0
ten_year_assumption,14.838347464052072,0.020039742635430288,0.020039742635430288,0.0,0.020039742635430288,0.0,0.0,590.2049505748622,19999.820911177896,5259.852,4.500040295345796,0.0,0.0,0.0,101.95096961063628,765.4792633333333,805.767645614035,-907.7186152246713,-4.283654185320851,0.0
ten_year_assumption,15.79628417284993,0.021331532536349413,0.021331532536349413,0.0,0.021331532536349413,0.0,0.0,590.0975929836114,19999.809366861384,5259.852,4.500042892865029,0.0,0.0,0.0,101.95096961063628,765.4792633333333,805.767645614035,-907.7186152246713,-4.283654185320851,0.0
ten_year_assumption,16.816063532272164,0.02270645982434739,0.02270645982434739,0.0,0.02270645982434739,0.0,0.0,589.983326041534,19999.79707957242,5259.852,4.500045657559448,0.0,0.0,0.0,101.95096961063628,765.4792633333333,805.767645614035,-907.7186152246713,-4.283654185320851,0.0
ten_year_assumption,17.90167799129909,0.024169857338209016,0.024169857338209016,0.0,0.024169857338209016,0.0,0.0,589.861706549062,19999.78400165312,5259.852,4.500048600152926,0.0,0.0,0.0,101.95096961063628,765.4792633333333,805.767645614035,-907.7186152246713,-4.283654185320851,0.0
ten_year_assumption,19.057377744151562,0.025727397627193428,0.025727397627193428,0.0,0.025727397627193428,0.0,0.0,589.7322630740957,19999.770082409705,5259.852,4.500051732052522,0.0,0.0,0.0,101.95096961063628,765.4792633333333,805.767645614035,-907.7186152246713,-4.283654185320851,0.0
ten_year_assumption,20.287687369854638,0.027385114275708042,0.027385114275708042,0.0,0.027385114275708042,0.0,0.0,589.5944941797623,19999.755267921944,5259.852,4.500055065391376,0.0,0.0,0.0,101.95096961063628,765.4792633333333,805.767645614035,-907.7186152246713,-4.283654185320851,0.0
ten_year_assumption,21.5974235460212,0.02914942452433585,0.02914942452433585,0.0,0.02914942452433585,0.0,0.0,589.4478665444349,19999.739500841,5259.852,4.500058613074208,0.0,0.0,0.0,101.95096961063628,765.4792633333333,805.767645614035,-907.7186152246713,-4.283654185320851,0.0
ten_year_assumption,22.991713906205227,0.031027153260301848,0.031027153260301848,0.0,0.031027153260301848,0.0,0.0,589.2918129679422,19999.722720175017,5259.852,4.5000623888255795,0.0,0.0,0.0,101.95096961063628,765.4792633333333,805.767645614035,-907.7186152246713,-4.283654185320851,0.0
ten_year_assumption,24.476017114651434,0.03302555845379036,0.03302555845379036,0.0,0.03302555845379036,0.0,0.0,589.1257302576165,19999.70486106182,5259.852,4.500066407241059,0.0,0.0,0.0,101.95096961063628,765.4792633333333,805.767645614035,-907.7186152246713,-4.283654185320851,0.0
ten_year_assumption,26.056144237034268,0.03515235811988463,0.03515235811988463,0.0,0.03515235811988463,0.0,0.0,588.9489769875513,19999.685854527954,5259.852,4.500070683841461,0.0,0.0,0.0,101.95096961063628,765.4792633333333,805.767645614035,-907.7186152246713,-4.283654185320851,0.0
ten_year_assumption,27.738281490852877,0.03741575888927125,0.03741575888927125,0.0,0.03741575888927125,0.0,0.0,588.7608711241571,19999.665627233364,5259.852,4.500075235130322,0.0,0.0,0.0,101.95096961063628,765.4792633333333,805.767645614035,-907.7186152246713,-4.283654185320851,0.0
ten_year_assumption,29.5290144645502,0.039824486274211215,0.039824486274211215,0.0,0.039824486274211215,0.0,0.0,588.560687510829,19999.64410120092,5259.852,4.500080078654788,0.0,0.0,0.0,101.95096961063628,765.4792633333333,805.767645614035,-907.7186152246713,-4.283654185320851,0.0
ten_year_assumption,30.0,0.04045787615518957,0.04045787615518957,0.0,0.04045787615518957,0.0,0.0,588.5080479818344,19999.638440796505,5259.852,4.5000813522914695,0.0,0.0,0.0,101.95096961063628,765.4792633333333,805.767645614035,-907.7186152246713,-4.283654185320851,0.0
ten_year_assumption,31.435353900174317,0.04238781671959422,0.04238781671959422,0.0,0.04238781671959422,0.0,0.0,588.3476552042596,19999.621193529976,5259.852,4.500085233070097,0.0,0.0,0.0,101.95096961063628,765.4792633333333,805.767645614035,-907.7186152246713,-4.283654185320851,0.0
ten_year_assumption,33.464763140521455,0.04511561153212881,0.04511561153212881,0.0,0.04511561153212881,0.0,0.0,588.1209546546643,19999.59681609316,5259.852,4.500090718207845,0.0,0.0,0.0,101.95096961063628,765.4792633333333,805.767645614035,-907.7186152246713,-4.283654185320851,0.0
ten_year_assumption,35.62518734821667,0.048018352783835413,0.048018352783835413,0.0,0.048018352783835413,0.0,0.0,587.8797147219279,19999.57087521552,5259.852,4.500096555148219,0.0,0.0,0.0,101.95096961063628,765.4792633333333,805.767645614035,-907.7186152246713,-4.283654185320851,0.0
ten_year_assumption,37.92508461112511,0.05110718128895164,0.05110718128895164,0.0,0.05110718128895164,0.0,0.0,587.6230095194334,19999.543271335133,5259.852,4.50010276629641,0.0,0.0,0.0,101.95096961063628,765.4792633333333,805.767645614035,-907.7186152246713,-4.283654185320851,0.0
ten_year_assumption,40.37345905587206,0.0543939367560734,0.0543939367560734,0.0,0.0543939367560734,0.0,0.0,587.3498550771133,19999.513898644283,5259.852,4.500109375463414,0.0,0.0,0.0,101.95096961063628,765.4792633333333,805.767645614035,-907.7186152246713,-4.283654185320851,0.0
ten_year_assumption,42.979896099111755,0.057891200219771316,0.057891200219771316,0.0,0.057891200219771316,0.0,0.0,587.0592058150587,19999.482644710253,5259.852,4.500116407951406,0.0,0.0,0.0,101.95096961063628,765.4792633333333,805.767645614035,-907.7186152246713,-4.283654185320851,0.0
ten_year_assumption,45.754599974553535,0.061612338857963224,0.061612338857963224,0.0,0.061612338857963224,0.0,0.0,586.7499508188538,19999.449390074817,5259.852,4.500123890643938,0.0,0.0,0.0,101.95096961063628,765.4792633333333,805.767645614035,-907.7186152246713,-4.283654185320851,0.0
ten_year_assumption,48.70843368266493,0.06557155330290089,0.06557155330290089,0.0,0.06557155330290089,0.0,0.0,586.4209099076722,19999.414007831427,5259.852,4.500131852101144,0.0,0.0,0.0,101.95096961063628,765.4792633333333,805.767645614035,-907.7186152246713,-4.283654185320851,0.0
ten_year_assumption,51.85296151945471,0.06978392755463436,0.06978392755463436,0.0,0.06978392755463436,0.0,0.0,586.0708294860876,19999.37636317916,5259.852,4.500140322660208,0.0,0.0,0.0,101.95096961063628,765.4792633333333,805.767645614035,-907.7186152246713,-4.283654185320851,0.0
ten_year_assumption,55.20049435083673,0.07426548160613569,0.07426548160613569,0.0,0.07426548160613569,0.0,0.0,585.6983781705239,19999.336312952422,5259.852,4.500149334541275,0.0,0.0,0.0,101.95096961063628,765.4792633333333,805.767645614035,-907.7186152246713,-4.283654185320851,0.0
ten_year_assumption,58.76413780982438,0.0790332268887567,0.0790332268887567,0.0,0.0790332268887567,0.0,0.0,585.3021421813163,19999.293705125452,5259.852,4.500158921959062,0.0,0.0,0.0,101.95096961063628,765.4792633333333,805.767645614035,-907.7186152246713,-4.283654185320851,0.0
